algoritmo,step_size,iter,time,loss,gap,spars,mse
FW,diminishing,90,0.011227846145629883,59.66665891192551,0.9761891965212683,16,0.19216315269541226
FW,diminishing,91,0.011350870132446289,59.66480620652966,1.3327078415804436,16,0.1921571858503371
FW,diminishing,92,0.011474847793579102,59.662223403124756,1.0289196028649314,16,0.19214886764291386
FW,diminishing,93,0.011651754379272461,59.660953852654984,1.0085447207428757,16,0.19214477891354262
FW,diminishing,94,0.01181173324584961,59.66057447268484,0.8335296129250622,16,0.19214355707789
FW,diminishing,95,0.011960744857788086,59.65979588224075,0.7011905151806701,16,0.19214104954022787
FW,diminishing,96,0.012166976928710938,59.65928120220717,0.8739500981544595,16,0.19213939195557864
FW,diminishing,97,0.0123138427734375,59.65778094306599,0.8118936374010417,16,0.19213456020311107
FW,diminishing,98,0.012462854385375977,59.65617146871115,1.2886013308966895,16,0.19212937671082497
FW,diminishing,99,0.012603998184204102,59.65534260639642,0.788518033746648,16,0.1921267072669772
FW,diminishing,100,0.012740850448608398,59.65511691386942,0.47106516520699415,16,0.19212598039893533
FW,diminishing,101,0.012878894805908203,59.65448897897994,0.7847153194026646,16,0.19212395806434765
FW,diminishing,102,0.013031959533691406,59.654228520074064,0.5338175203340825,16,0.19212311922729167
FW,diminishing,103,0.013168811798095703,59.65380987106683,0.502738034020652,16,0.19212177092131022
FW,diminishing,104,0.013304948806762695,59.65347742231234,0.505725015239932,16,0.19212070023289
FW,diminishing,105,0.013423919677734375,59.65298813290786,0.8988911845968843,16,0.1921191244216034
FW,diminishing,106,0.013542890548706055,59.65194983473668,0.9423210947666973,16,0.1921157804661407
FW,diminishing,107,0.013676881790161133,59.65093438519154,1.0490618152293223,16,0.19211251009723523
FW,diminishing,108,0.013813018798828125,59.65010400433419,0.7818501442493684,16,0.192109835762751
FW,diminishing,109,0.013941049575805664,59.649662136300535,0.5561678215667172,16,0.19210841267729642
FW,diminishing,110,0.014082908630371094,59.64868167763332,1.027782563287822,16,0.19210525500042938
FW,diminishing,111,0.01421976089477539,59.64793277763258,0.7439022873123236,16,0.19210284308416292
FW,diminishing,112,0.01435708999633789,59.64736500868533,0.5982875935634624,16,0.1921010145207257
FW,diminishing,113,0.014492988586425781,59.64667070725673,0.7868264590689122,16,0.1920987784452713
FW,diminishing,114,0.014627933502197266,59.64625771642341,0.41048546898991845,16,0.19209744836207218
FW,diminishing,115,0.014843940734863281,59.64624040861097,0.5719604096799173,16,0.19209739262032519
FW,diminishing,116,0.014979839324951172,59.64606032161802,0.6248326155166524,16,0.19209681263000974
FW,diminishing,117,0.015109777450561523,59.64604837456979,0.6533327101771107,16,0.19209677415320384
FW,diminishing,118,0.015496015548706055,59.64445096680105,1.2632870115991324,16,0.1920916295227087
FW,diminishing,119,0.01576685905456543,59.64375788729109,0.7832267412518661,16,0.19208939738258
FW,diminishing,120,0.015926837921142578,59.64334908401983,0.7345841057798523,16,0.19208808078589318
FW,diminishing,121,0.016087770462036133,59.642552894585634,0.9288113907143369,16,0.1920855165687138
FW,diminishing,122,0.016213655471801758,59.64198481133581,0.8259378197393161,16,0.19208368699303
FW,diminishing,123,0.016341686248779297,59.641218659927716,0.8114524587499687,16,0.19208121951667542
FW,diminishing,124,0.0164797306060791,59.640417005443254,0.8341486683334338,16,0.19207863769869002
FW,diminishing,125,0.016628026962280273,59.63983392832567,0.6567104733638587,16,0.19207675983357705
FW,diminishing,126,0.016749858856201172,59.639379006993394,0.5135688584430369,16,0.19207529470851334
