Date,return_assets,return_capital,return_equity,return_invested_capital,return_common_equity,gross_margin,sga_margin,ebitda_margin,ebita_margin,ebit_margin,earning_co_margin,ni_margin,ni_norm_margin,ni_avail_excl_margin,lfcf_margin,ufcf_margin,cf_total_rev,asset_turns,fixed_asset_turns,ar_turns,inventory_turns,current_ratio,quick_ratio,days_sales_out,days_inventory_out,days_payable_out,cash_conversion,cfo_current_liab,total_debt_equity,total_debt_capital,lt_debt_equity,lt_debt_capital,total_liab_total_assets,ebit_int,ebitda_int,ebitda_capex_int,total_debt_ebitda,net_debt_ebitda,total_debt_ebitda_capex,net_debt_ebitda_capex,ebitda_excl_oper_leases_int,ebitda_excl_oper_leases_capex_int,total_debt_ebitda_excl_oper_leases,net_debt_ebitda_excl_oper_leases,total_debt_ebitda_excl_oper_leases_capex,net_debt_ebitda_excl_oper_leases_capex,total_rev_employee,z_score,capex_pct_rev,Ticker
2005-03-31,8.4781,13.3799,22.0835,10.2668,22.3889,48.2899,36.5221,12.1919,11.1303,10.4376,6.1298,5.7596,5.8137,6.0474,6.9033,7.7178,,1.29964,16.67775,4.5657,2.90145,2.07038,1.1126,79.94376,125.79908,59.22162,146.52122,0.38976,58.8913,37.0639,58.8913,37.0639,61.035,8.00983,9.35609,7.80623,1.45976,0.85572,1.74958,1.02562,9.35609,7.80623,1.45976,0.85572,1.74958,1.02562,,3.69472,2.0196,ADS.DE
2005-06-30,8.5933,14.1089,23.0178,10.5733,23.1543,48.2812,36.3594,12.4194,11.2964,10.7305,6.3894,6.0098,6.0914,6.3086,2.9655,3.7444,,1.28134,17.40512,5.68626,2.59396,2.07403,0.87187,64.18963,140.71115,76.8774,128.02339,0.35546,54.1601,35.1323,54.1601,35.1323,61.3079,8.61089,9.9662,8.23218,1.3564,0.71162,1.6421,0.86151,9.9662,8.23218,1.3564,0.71162,1.6421,0.86151,,3.68526,2.1608,ADS.DE
2005-09-30,8.7391,13.8745,22.8809,11.0564,23.2284,48.3504,36.3163,12.4869,11.3936,10.9694,6.9175,6.4212,6.4036,6.8864,0.8687,1.627,,1.27469,17.50626,4.82124,2.98089,2.2484,0.99652,75.70648,122.44619,58.67813,139.47453,0.32629,50.9887,33.7698,50.9887,33.7698,59.004,9.0419,10.29272,8.16688,1.37427,0.74361,1.732,0.93717,10.29272,8.16688,1.37427,0.74361,1.732,0.93717,,3.80694,2.579,ADS.DE
2005-12-31,8.6779,13.6609,20.3007,9.9858,20.1991,48.1766,,12.5828,11.1663,10.654,6.54,5.7715,6.0635,6.4345,4.8432,5.5401,,1.30324,16.7591,6.59865,2.88341,2.53453,1.54498,55.31429,126.58638,66.25991,115.64076,0.20429,38.9749,28.0445,38.7905,27.9119,52.8347,9.55405,11.28378,8.74324,1.26587,,1.63369,,11.28378,8.74324,1.26587,,1.63369,,416.441,3.79555,2.833,ADS.DE
2006-03-31,6.7289,10.4876,19.5774,8.0884,19.4608,47.1499,-7.9099,12.0603,10.578,10.1199,6.1177,5.6865,5.6006,5.983,-2.5464,-1.6705,,1.06387,14.12179,4.64829,2.94776,1.86373,0.93379,78.52318,123.8226,52.81915,149.52663,0.10765,115.0568,53.5006,115.0568,53.5006,69.6388,7.22115,8.60577,6.66346,3.62011,3.29832,4.67532,4.25974,8.60577,6.66346,3.62011,3.29832,4.67532,4.25974,,2.26251,2.722,ADS.DE
2006-06-30,6.9055,11.0836,19.4195,8.5674,19.229,46.0938,-13.9565,11.2684,9.6483,9.2403,5.3402,5.2562,4.8781,5.2082,0.7353,1.7628,,1.19572,16.38741,6.13171,3.09793,1.77367,0.79568,59.52639,117.82054,52.60271,124.74423,0.11088,114.7455,53.4332,114.7455,53.4332,70.3078,5.62044,6.85401,5.32847,3.26518,3.01278,4.2,3.87534,6.85401,5.32847,3.26518,3.01278,4.2,3.87534,,2.44358,2.5081,ADS.DE
2006-09-30,7.6215,11.8778,19.4178,8.8086,19.0303,45.2388,-18.9163,11.3818,9.5864,9.223,5.2046,4.9802,4.6596,5.055,2.4476,3.6232,,1.32217,18.11617,5.97128,4.01725,1.90654,0.96573,61.12582,90.85799,37.16175,114.82207,0.19493,103.1466,50.7744,103.1466,50.7744,67.7699,4.90341,6.05114,4.92045,2.80094,2.56056,3.44457,3.14896,6.05114,4.92045,2.80094,2.56056,3.44457,3.14896,,2.70565,2.1267,ADS.DE
2006-12-31,7.8827,12.102,17.8803,9.0622,17.5253,44.5755,15.7873,10.8786,9.52,8.8357,4.9186,4.7897,4.4141,4.7897,0.9071,2.0475,,1.42742,18.1204,8.47395,3.94008,1.7906,0.88914,43.07292,92.63773,43.92702,91.78363,0.34763,91.6078,47.81,91.5021,47.7548,66.1534,4.84239,5.96196,4.86413,2.36828,2.02552,2.90279,2.48268,5.96196,4.86413,2.36828,2.02552,2.90279,2.48268,382.317,2.99546,2.0031,ADS.DE
2007-03-31,6.0887,9.2412,16.5045,6.7994,16.3716,45.026,15.6646,10.7251,9.259,8.5801,4.6738,4.595,4.2507,4.595,3.3366,4.4435,,1.1354,15.07864,5.53088,3.57912,1.98438,1.00758,65.99273,101.98027,46.17688,121.79612,0.29735,95.204,48.7715,95.204,48.7715,65.9209,4.84444,6.05556,4.99444,2.56789,2.31101,3.11346,2.802,6.05556,4.99444,2.56789,2.31101,3.11346,2.802,,2.98405,1.8793,ADS.DE
2007-06-30,6.25,9.7351,17.623,7.0864,17.5143,45.6832,15.7079,10.9028,9.4425,8.7617,4.8939,4.8248,4.4264,4.8248,3.7516,4.8308,,1.14133,14.90441,6.01841,3.17291,1.85332,0.88309,60.64694,115.03632,54.04555,121.63771,0.29638,91.5454,47.793,91.5454,47.793,66.2481,5.07429,6.31429,5.19429,2.44977,2.16742,2.978,2.63476,6.31429,5.19429,2.44977,2.16742,2.978,2.63476,,2.96015,1.9338,ADS.DE
